company_id,company_name,High ROE,High ROCE,Healthy Margin,Low Debt,valuation
ABB,Abbott India Ltd,False,False,True,True,Fairly Valued
ADANIENSOL,Adani Energy Solutions Ltd,False,False,False,False,Overvalued
ADANIENT,Adani Enterprises Ltd,False,False,False,False,Overvalued
ADANIGREEN,Adani Green Energy Ltd,False,False,False,False,Overvalued
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",False,False,True,False,Overvalued
ADANIPOWER,Adani Power Ltd,False,False,True,False,Overvalued
AMBUJACEM,Ambuja Cements Ltd,False,False,False,True,Overvalued
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",False,False,False,False,Overvalued
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",False,False,True,True,Fairly Valued
ATGL,Adani Total Gas Ltd,False,False,False,True,Overvalued
BAJAJ-AUTO,Bajaj Auto Ltd,False,False,True,True,Fairly Valued
AXISBANK,Axis Bank Ltd,False,False,True,False,Overvalued
BAJAJFINSV,Bajaj Finserv Ltd,False,False,False,False,Overvalued
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,False,False,True,True,Fairly Valued
BAJFINANCE,Bajaj Finance Ltd,False,False,True,False,Overvalued
BANKBARODA,Bank of Baroda,False,False,True,False,Overvalued
BHARTIARTL,Bharti Airtel Ltd,False,False,False,False,Overvalued
BEL,Bharat Electronics Ltd,True,True,True,False,Fairly Valued
BHEL,"Bharat Heavy Electricals Limited
",False,False,False,True,Overvalued
BOSCHLTD,Bosch Ltd,False,False,False,True,Overvalued
BPCL,Bharat Petroleum Corporation Ltd,False,False,False,False,Overvalued
BRITANNIA,Britannia Industries Ltd,False,False,False,False,Overvalued
CANBK,Canara Bank,False,False,False,False,Overvalued
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,False,False,True,False,Overvalued
CIPLA,"Cipla Ltd
",False,False,True,True,Fairly Valued
COALINDIA,Coal India Ltd,False,False,True,True,Fairly Valued
DABUR,Dabur India Ltd,False,False,False,True,Overvalued
DIVISLAB,Divis Laboratories Ltd,False,False,True,True,Fairly Valued
DLF,DLF Ltd,False,False,True,True,Fairly Valued
